title,text,label
Scientists discover new species of butterfly in Amazon rainforest,Researchers from the University of Science have documented a new butterfly species...,1
"BREAKING: Aliens land in New York City, demand pizza","In an unprecedented event, extraterrestrial visitors landed in Times Square...",0
Local community center opens new after-school program,The Riverside Community Center announced the opening of its new program...,1
Miracle cure found in grandmother's backyard herbs,A local woman claims her grandmother's herb garden contains the secret...,0
University researchers publish study on climate change effects,A comprehensive study published in Nature Climate reveals significant...,1
Government secretly controls weather with hidden machines,Secret documents allegedly prove that the government has been...,0
New transportation bill passes senate with bipartisan support,The Senate voted 67-33 to approve the new infrastructure bill...,1
Celebrity spotted eating regular food like normal person,Photos emerged showing the famous actor eating a sandwich...,0
Healthcare workers receive recognition for pandemic efforts,Medical professionals across the country were honored for their...,1
Ancient aliens built pyramids using time travel technology,Conspiracy theorists claim that ancient structures were built...,0
Scientists discover new species of butterfly in Amazon rainforest,Researchers from the University of Science have documented a new butterfly species...,1
"BREAKING: Aliens land in New York City, demand pizza","In an unprecedented event, extraterrestrial visitors landed in Times Square...",0
Local community center opens new after-school program,The Riverside Community Center announced the opening of its new program...,1
Miracle cure found in grandmother's backyard herbs,A local woman claims her grandmother's herb garden contains the secret...,0
University researchers publish study on climate change effects,A comprehensive study published in Nature Climate reveals significant...,1
Government secretly controls weather with hidden machines,Secret documents allegedly prove that the government has been...,0
New transportation bill passes senate with bipartisan support,The Senate voted 67-33 to approve the new infrastructure bill...,1
Celebrity spotted eating regular food like normal person,Photos emerged showing the famous actor eating a sandwich...,0
Healthcare workers receive recognition for pandemic efforts,Medical professionals across the country were honored for their...,1
Ancient aliens built pyramids using time travel technology,Conspiracy theorists claim that ancient structures were built...,0
Scientists discover new species of butterfly in Amazon rainforest,Researchers from the University of Science have documented a new butterfly species...,1
"BREAKING: Aliens land in New York City, demand pizza","In an unprecedented event, extraterrestrial visitors landed in Times Square...",0
Local community center opens new after-school program,The Riverside Community Center announced the opening of its new program...,1
Miracle cure found in grandmother's backyard herbs,A local woman claims her grandmother's herb garden contains the secret...,0
University researchers publish study on climate change effects,A comprehensive study published in Nature Climate reveals significant...,1
Government secretly controls weather with hidden machines,Secret documents allegedly prove that the government has been...,0
New transportation bill passes senate with bipartisan support,The Senate voted 67-33 to approve the new infrastructure bill...,1
Celebrity spotted eating regular food like normal person,Photos emerged showing the famous actor eating a sandwich...,0
Healthcare workers receive recognition for pandemic efforts,Medical professionals across the country were honored for their...,1
Ancient aliens built pyramids using time travel technology,Conspiracy theorists claim that ancient structures were built...,0
Scientists discover new species of butterfly in Amazon rainforest,Researchers from the University of Science have documented a new butterfly species...,1
